movie_title,content_rating,runtime,production_company,audience_rating
Aliens vs. Predator: Requiem (AVP 2),R,94,20thCenturyFox,30
Alita: Battle Angel,PG-13,122,20thCenturyFox,92
Alive,R,127,Buena Vista,68
All About Eve,PG,138,20thCenturyFox,94
All About My Mother (Todo sobre mi madre),R,99,Sony,93
All About Steve,PG-13,99,20thCenturyFox,30
All About the Benjamins,R,98,New Line Cinema,77
All Dogs Go To Heaven,G,86,MGM,63
All Dogs Go To Heaven 2,G,82,MGM,38
All Good Things,R,101,Magnolia Pictures,37
All Is Lost,PG-13,105,Lionsgate Films,63
All The King's Men,PG-13,128,Sony,40
All the Boys Love Mandy Lane,R,90,Radius-TWC,31
All the President's Men,PG,138,Warner Bros.,92
Allied,R,119,Paramount,63
Almost Famous,R,122,Dreamworks,92
Almost Heroes,PG-13,90,Warner Bros.,64
Aloha,PG-13,105,Sony,28
Alone in the Dark,R,98,Lionsgate Films,11
Alone with Her,NR,78,IFC Films,46
Along Came Polly,PG-13,90,Universal Pictures,47
Along Came a Spider,R,104,Paramount,53
Alpha Dog,R,118,Universal Pictures,67
Alpha and Omega,PG,88,Lionsgate Films,41
Alvin and the Chipmunks,PG,91,20thCenturyFox,64
Alvin and the Chipmunks: Chipwrecked,G,87,20thCenturyFox,51
Alvin and the Chipmunks: The Road Chip,PG,86,20thCenturyFox,51
Alvin and the Chipmunks: The Squeakquel,PG,89,20thCenturyFox,49
Amadeus,R,158,Warner Bros.,95
Amazing Grace,PG,116,Samuel Goldwyn Films,85
Amelia,PG,111,20thCenturyFox,31
America's Sweethearts,PG-13,102,Columbia Pictures,40
American Beauty,R,122,Dreamworks,93
American Dreamz,PG-13,107,Universal Pictures,31
American Gangster,R,157,Universal Pictures,87
American Graffiti,PG,110,Universal Pictures,84
American Hardcore,R,100,Sony,78
American History X,R,118,New Line Cinema,96
American Hustle,R,138,Sony,74
American Made,R,115,Universal Pictures,78
American Outlaws,PG-13,93,Warner Bros.,68
American Pie,R,95,Universal Pictures,61
American Pie 2,R,105,Universal Pictures,68
American Pie 5: The Naked Mile,R,102,Universal Pictures,61
American Pie Presents: Band Camp,R,91,Universal Pictures,50
American Psycho,R,103,Lionsgate Films,85
American Psycho II: All American Girl,R,88,Lionsgate Films,18
American Reunion,R,112,Universal Pictures,63
American Sniper,R,132,Warner Bros.,84
American Splendor,R,100,Fine Line Features,86
American Teen,PG-13,100,Paramount,59
American Wedding,R,97,Universal Pictures,63
Amistad,R,152,Dreamworks,79
Amores Perros,R,153,Lionsgate Films,94
Am??lie,R,121,Miramax Films,95
